"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","PSU_Si","Sij","pi1","pi2_cond","pi_joint","base_weight","rate_d1","rate_d2","rate_d3","rate_d4"
"26163538600","26163538600","261635386001","261635386001",1,"Block Group 1; Census Tract 5386; Wayne County; Michigan",515,1235,963,250,248,273,192,16.2130675869421,4.32379470198797,0.301014505042916,0.266685787794428,0.0802762904149197,12.456978204042,0.0551438213050299,0.0610966827343915,0.0528900342384365,0.05460679359342
"26163539100_26163539200","26163539100","261635391001","261635391001",1,"Block Group 1; Census Tract 5391; Wayne County; Michigan",804,1788,1362,391,298,351,322,23.5734015167171,6.0942416287808,0.437667686986484,0.258521945781099,0.113146702045259,8.83808349623836,0.0391239102302807,0.04334739729853,0.0375248740955918,0.038742895213857
"26163539600","26163539600","261635396002","261635396002",1,"Block Group 2; Census Tract 5396; Wayne County; Michigan",728,1829,1389,391,340,323,335,10.9319318479719,6.23833982045141,0.202964061966313,0.570653010575505,0.11582205299971,8.63393433375338,0.0382201946781422,0.0423461242444606,0.0366580943664537,0.0378479806530794
"26163540400","26163540400","261635404001","261635404001",1,"Block Group 1; Census Tract 5404; Wayne County; Michigan",610,1400,1064,330,243,257,234,9.07036226288347,4.76959038235909,0.168401851930894,0.5258434276519,0.088553007042269,11.2926712869578,0.0499897356569495,0.0553862055100298,0.0479466015936999,0.0495029019064313
"26163540900","26163540900","261635409002","261635409002",1,"Block Group 2; Census Tract 5409; Wayne County; Michigan",609,1453,1158,343,256,265,294,11.832709879258,5.18788239159889,0.219688056471801,0.438435696010169,0.0963190859443353,10.3821583250688,0.0459591302208715,0.0509204899370484,0.0440807313208258,0.0455115492236538
"26163541500","26163541500","261635415002","261635415002",1,"Block Group 2; Census Tract 5415; Wayne County; Michigan",980,1943,1545,422,332,390,401,12.9513406381681,6.91012117325224,0.240456740893391,0.533544855803409,0.128294457146922,7.79456901130817,0.0345045414440746,0.0382293604544232,0.0330943038616041,0.0341685129554183
"26163542300","26163542300","261635423002","261635423002",1,"Block Group 2; Census Tract 5423; Wayne County; Michigan",679,1397,1073,361,274,280,158,7.81994102319998,4.82336025243792,0.1451863235591,0.616802638041401,0.089551307378785,11.1667828116701,0.0494324599298896,0.0547687709999435,0.0474121023227587,0.0489510533061347
"26163543100","26163543100","261635431001","261635431001",1,"Block Group 1; Census Tract 5431; Wayne County; Michigan",546,1348,1037,281,249,271,236,8.57071657482056,4.65031642549103,0.159125347118799,0.542581986569588,0.0863385469532934,11.5823121338951,0.0512719007891776,0.056806782366021,0.0491763632630583,0.0507725804501247
"26163543900_26163544100","26163544100","261635441002","261635441002",1,"Block Group 2; Census Tract 5441; Wayne County; Michigan",678,1354,981,454,256,209,62,9.99060449710272,4.42448265609306,0.185487222060122,0.442864358946064,0.0821456796903421,12.173494744576,0.0538889133349209,0.0597063054936395,0.0516864157017738,0.0533641067632233
"26163545500","26163545500","261635455003","261635455003",1,"Block Group 3; Census Tract 5455; Wayne County; Michigan",545,1415,934,340,259,215,120,11.69005586875,4.21427346219148,0.217039518424624,0.36050071184494,0.0782429008905598,12.7807122258762,0.0565769081064978,0.0626844734889677,0.0542645492466914,0.0560259240293819
"26163545900","26163545900","261635459001","261635459001",1,"Block Group 1; Census Tract 5459; Wayne County; Michigan",826,1861,1282,494,348,309,131,11.4076762952441,5.77982899844088,0.211796812373022,0.506661378606131,0.1073092649413,9.31885984446003,0.0412521828016671,0.045705420210055,0.0395661618864161,0.0408504412319933
"26163985100_26163546700","26163546700","261635467002","261635467002",1,"Block Group 2; Census Tract 5467; Wayne County; Michigan",559,1091,823,285,202,210,126,9.98946787943633,3.69631233296874,0.185466119427789,0.370020943816009,0.0686263485565633,14.5716626490156,0.0645049825144406,0.0714683958819656,0.0618685947581822,0.0638767895033768
