"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Sij","PSU_Si","Si_check","mos_diff","pi2_cond"
"26163538600","26163538600","261635386002","261635386002",1,"Block Group 2; Census Tract 5386; Wayne County; Michigan",414,1091,823,269,175,189,190,3.68445010592483,16.2130675869421,16.2130675869421,3.5527136788005e-15,0.227251881000746
"26163538600","26163538600","261635386003","261635386003",1,"Block Group 3; Census Tract 5386; Wayne County; Michigan",457,1111,882,248,187,251,196,3.93988627813538,16.2130675869421,16.2130675869421,3.5527136788005e-15,0.243006837355599
"26163538600","26163538600","261635386004","261635386004",1,"Block Group 4; Census Tract 5386; Wayne County; Michigan",572,1321,951,330,218,230,173,4.26493650089397,16.2130675869421,16.2130675869421,3.5527136788005e-15,0.263055493849227
"26163539100_26163539200","26163539100","261635391001","261635391001",1,"Block Group 1; Census Tract 5391; Wayne County; Michigan",804,1788,1362,391,298,351,322,6.0942416287808,23.5734015167171,23.5734015167171,0,0.258521945781099
"26163539100_26163539200","26163539200","261635392001","261635392001",1,"Block Group 1; Census Tract 5392; Wayne County; Michigan",1142,2152,1745,396,409,480,460,7.81343889090203,23.5734015167171,23.5734015167171,0,0.33145148295044
"26163539100_26163539200","26163539200","261635392002","261635392002",1,"Block Group 2; Census Tract 5392; Wayne County; Michigan",372,794,646,143,134,180,189,2.88299549833439,23.5734015167171,23.5734015167171,0,0.122298663444472
"26163539100_26163539200","26163539200","261635392003","261635392003",1,"Block Group 3; Census Tract 5392; Wayne County; Michigan",799,1917,1517,437,325,402,353,6.78272549869986,23.5734015167171,23.5734015167171,0,0.287727907823989
"26163539600","26163539600","261635396001","261635396001",1,"Block Group 1; Census Tract 5396; Wayne County; Michigan",589,1368,1050,329,224,291,206,4.69359202752049,10.9319318479719,10.9319318479719,0,0.429346989424495
"26163539600","26163539600","261635396002","261635396002",1,"Block Group 2; Census Tract 5396; Wayne County; Michigan",728,1829,1389,391,340,323,335,6.23833982045141,10.9319318479719,10.9319318479719,0,0.570653010575505
"26163540400","26163540400","261635404001","261635404001",1,"Block Group 1; Census Tract 5404; Wayne County; Michigan",610,1400,1064,330,243,257,234,4.76959038235909,9.07036226288347,9.07036226288347,0,0.5258434276519
"26163540400","26163540400","261635404002","261635404002",1,"Block Group 2; Census Tract 5404; Wayne County; Michigan",642,1232,962,258,215,286,203,4.30077188052439,9.07036226288347,9.07036226288347,0,0.4741565723481
"26163540900","26163540900","261635409001","261635409001",1,"Block Group 1; Census Tract 5409; Wayne County; Michigan",452,993,743,212,164,186,181,3.32598495519733,11.832709879258,11.832709879258,0,0.281083960406025
"26163540900","26163540900","261635409002","261635409002",1,"Block Group 2; Census Tract 5409; Wayne County; Michigan",609,1453,1158,343,256,265,294,5.18788239159889,11.832709879258,11.832709879258,0,0.438435696010169
"26163540900","26163540900","261635409003","261635409003",1,"Block Group 3; Census Tract 5409; Wayne County; Michigan",378,974,740,174,180,191,195,3.31884253246178,11.832709879258,11.832709879258,0,0.280480343583806
"26163541500","26163541500","261635415001","261635415001",1,"Block Group 1; Census Tract 5415; Wayne County; Michigan",814,1682,1352,373,289,378,312,6.04121946491588,12.9513406381681,12.9513406381681,0,0.466455144196591
"26163541500","26163541500","261635415002","261635415002",1,"Block Group 2; Census Tract 5415; Wayne County; Michigan",980,1943,1545,422,332,390,401,6.91012117325224,12.9513406381681,12.9513406381681,0,0.533544855803409
"26163542300","26163542300","261635423001","261635423001",1,"Block Group 1; Census Tract 5423; Wayne County; Michigan",367,858,667,217,161,149,140,2.99658077076206,7.81994102319998,7.81994102319998,0,0.383197361958599
"26163542300","26163542300","261635423002","261635423002",1,"Block Group 2; Census Tract 5423; Wayne County; Michigan",679,1397,1073,361,274,280,158,4.82336025243792,7.81994102319998,7.81994102319998,0,0.616802638041401
"26163543100","26163543100","261635431001","261635431001",1,"Block Group 1; Census Tract 5431; Wayne County; Michigan",546,1348,1037,281,249,271,236,4.65031642549103,8.57071657482056,8.57071657482056,0,0.542581986569588
"26163543100","26163543100","261635431002","261635431002",1,"Block Group 2; Census Tract 5431; Wayne County; Michigan",420,1107,878,206,178,218,276,3.92040014932953,8.57071657482056,8.57071657482056,0,0.457418013430412
"26163543900_26163544100","26163543900","261635439001","261635439001",1,"Block Group 1; Census Tract 5439; Wayne County; Michigan",487,785,601,219,132,193,57,2.68617495202223,9.99060449710272,9.99060449710272,0,0.268870112194034
"26163543900_26163544100","26163544100","261635441001","261635441001",1,"Block Group 1; Census Tract 5441; Wayne County; Michigan",381,868,639,176,174,141,148,2.87994688898744,9.99060449710272,9.99060449710272,0,0.288265528859903
"26163543900_26163544100","26163544100","261635441002","261635441002",1,"Block Group 2; Census Tract 5441; Wayne County; Michigan",678,1354,981,454,256,209,62,4.42448265609306,9.99060449710272,9.99060449710272,0,0.442864358946064
"26163545500","26163545500","261635455001","261635455001",1,"Block Group 1; Census Tract 5455; Wayne County; Michigan",440,1245,835,308,231,196,100,3.76694540000425,11.69005586875,11.69005586875,0,0.32223502114084
"26163545500","26163545500","261635455002","261635455002",1,"Block Group 2; Census Tract 5455; Wayne County; Michigan",558,1218,821,345,226,165,85,3.70883700655424,11.69005586875,11.69005586875,0,0.31726426701422
"26163545500","26163545500","261635455003","261635455003",1,"Block Group 3; Census Tract 5455; Wayne County; Michigan",545,1415,934,340,259,215,120,4.21427346219148,11.69005586875,11.69005586875,0,0.36050071184494
"26163545900","26163545900","261635459001","261635459001",1,"Block Group 1; Census Tract 5459; Wayne County; Michigan",826,1861,1282,494,348,309,131,5.77982899844088,11.4076762952441,11.4076762952441,1.77635683940025e-15,0.506661378606131
"26163545900","26163545900","261635459002","261635459002",1,"Block Group 2; Census Tract 5459; Wayne County; Michigan",811,1897,1248,524,333,283,108,5.62784729680327,11.4076762952441,11.4076762952441,1.77635683940025e-15,0.493338621393869
"26163985100_26163546700","26163546700","261635467001","261635467001",1,"Block Group 1; Census Tract 5467; Wayne County; Michigan",740,1725,1268,433,279,319,237,5.67850235851922,9.98946787943633,9.98946787943633,0,0.568448933121714
"26163985100_26163546700","26163546700","261635467002","261635467002",1,"Block Group 2; Census Tract 5467; Wayne County; Michigan",559,1091,823,285,202,210,126,3.69631233296874,9.98946787943633,9.98946787943633,0,0.370020943816009
"26163985100_26163546700","26163985100","261639851001","261639851001",1,"Block Group 1; Census Tract 9851; Wayne County; Michigan",127,154,136,81,33,16,6,0.614653187948376,9.98946787943633,9.98946787943633,0,0.0615301230622765
